CNTSTUID,SCHLTYPE,STRATIO,SCHSIZE,RATCMP1,RATCMP2,TOTAT,PROATCE,PROAT5AB,PROAT5AM,PROAT6,CLSIZE,CREACTIV,EDUSHORT,STAFFSHORT,STUBEHA,TEACHBEHA,SCMCEG
76400028,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76400053,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76400266,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76400751,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76401297,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76401364,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76401479,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76401673,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76401769,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76402026,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76402091,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76402296,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76402718,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76402893,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76403132,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76403270,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76404276,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76404579,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76404617,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76404970,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76405230,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76405278,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76405470,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76405824,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76406007,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76406021,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76406110,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76406421,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76407121,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76407332,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76407405,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76407704,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76408126,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76408309,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76408380,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76408536,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76408654,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76408757,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76409027,3,29.9111,1346,0.4878,999,45,0.7222,0.0556,0.8778,0.0667,43,3,0.8006,1.0815,-0.0384,0.2266,-1.0542
76400430,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76400574,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76400655,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76400766,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76400913,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76400966,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76401099,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
76401145,3,19.993,2859,0.211,1,143,1,0.6503,0.3497,0,38,3,1.2478,1.0815,-0.3925,-0.1662,-1.0391
