CNTSTUID,EFFORT1,EFFORT2,GRADE,AGE,ISCEDO,PARED,HISEI,MMINS,LMINS,SMINS,TMINS,ESCS,UNDREM,METASUM,METASPAM,ICTHOME,ICTSCH,HOMEPOS,CULTPOSS,HEDRES,WEALTH,ICTRES,DISCLIMA,TEACHSUP,DIRINS,PERFEED,EMOSUPS,STIMREAD,ADAPTIVITY,TEACHINT,JOYREAD,SCREADCOMP,SCREADDIFF,PISADIFF,PERCOMP,PERCOOP,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,RESILIENCE,MASTGOAL,BELONG,BEINGBULLIED,ENTUSE,HOMESCH,USESCH,INTICT,COMPICT,AUTICT,SOIAICT,ICTCLASS,ICTOUTSIDE,WVARSTRR,GENDER,MATH,SCIENCE,READ,TOTALSCORE,"Is_MISCED_5A,6","Is_FISCED_5A,6"
39203806.0,7.0,9.0,0.0,16.08,General,12.0,43.33,300.0,200.0,150.0,1650.0,-0.5815,1.5,1.36,1.33,8.0,4.0,-0.2768,-1.8511,1.1793,0.3137,-0.1931,2.0345,1.314,1.8202,0.0728,1.0346,0.8664,2.0073,1.8245,1.1914,0.402,0.5371,-0.8863,0.6912,-0.5107,1.0844,2.0054,1.8164,0.8207,-0.9827,0.6502,2.3693,-0.094,2.7249,-0.7823,0.1505,-1.0948,-0.0153,1.0435,1.1808,1.2991,-0.1184,-1.2188,-1.3048,70.0,1,530.4375,560.0838000000001,556.8609,549.1274000000001,0,0
39203171.0,4.0,3.0,0.0,15.67,Vocational,12.0,51.56,250.0,200.0,165.0,1500.0,-0.4111,0.8,0.59,1.33,6.0,4.0,-0.1614,-0.5278,-0.3434,-0.4655,-0.4556,2.0345,-0.3971,0.0846,-0.8111,-1.0657,-0.3644,-0.5819,-0.3449,0.1298,-1.0985,0.5082,0.2705,-0.6142,-0.2119,-0.6583,-0.9792,-1.3692,0.052,-0.9827,-1.1176,-1.2506,-1.1295,-0.5665,-0.7823,-0.7544,-2.2971,-1.7161,-0.9725,-1.0481,-0.776,-0.7345,0.8705,-1.3048,61.0,1,483.3442000000001,482.5687,488.043,484.65196666666674,0,1
39202235.0,9.0,10.0,0.0,15.33,Vocational,12.0,31.15,100.0,100.0,100.0,2050.0,-0.8057,-1.64,-1.72,-1.41,10.0,10.0,-0.2583,-0.7284,-0.6853,0.4386,-0.0513,2.0345,1.314,1.8202,0.1726,1.0346,-1.7115,2.0073,0.5665,0.3891,-1.3543,1.7046,-1.272,-0.3035,1.6762,0.4667,-0.8279,-2.7365,1.8905,0.2621,1.2386,2.3693,1.8524,0.1108,1.2618,-1.2903,-1.0415,-1.7161,-2.4332,-2.6033,-2.5144,-2.1763,0.3183,-1.3048,61.0,1,405.4427,417.4522999999999,445.0677,422.65423333333325,0,0
39204715.0,1.0,3.0,0.0,15.5,Vocational,16.0,58.07,150.0,150.0,100.0,1600.0,0.6188,0.45,-0.95,1.33,11.0,6.0,0.3805,0.1863,0.031,0.1889,1.1589,-0.8408,-0.2023,-0.3733,-1.1311,-1.0657,-0.62,0.1041,-0.5551,1.7513,1.2374,-0.0362,-1.272,-0.6142,-0.9391,0.0083,0.7871,-0.772,-0.3498,-2.1464,-3.0666,-0.4909,-0.6331,-0.3184,1.1928,-0.6265,-1.2893,-1.7161,0.4121,-0.8652,-0.3623,0.1051,-1.0384,-1.1088,30.0,1,527.2,527.1079000000001,509.0327000000001,521.1135333333333,1,0
39204886.0,10.0,10.0,0.0,15.58,General,16.0,37.83,350.0,300.0,350.0,1850.0,0.2669,-0.25,-1.72,1.33,6.0,5.0,0.4603,1.1084,-0.1357,-0.4211,-0.5294,2.0345,0.7628,1.8202,2.0165,1.0346,2.0871,2.0073,1.8245,2.0787,0.1222,-0.0362,-0.2888,1.1085,1.6762,0.443,0.3709,1.8164,-1.1858,1.7411,0.3385,2.3693,1.8524,0.9423,-0.7823,-1.4725,-0.2613,-1.7161,-1.2237,-1.1888,-2.5144,-2.1763,0.5903,0.2721,41.0,0,513.6901,504.3034,429.4705000000001,482.48800000000006,1,1
39203082.0,9.0,10.0,0.0,16.08,General,12.0,62.13,350.0,400.0,250.0,1600.0,-0.3507,0.1,1.36,1.33,7.0,1.0,-0.5779,-0.2665,-0.1357,-0.8909,-1.1421,1.3671,-0.9422,-0.5794,-1.6391,-0.6576,-0.3644,-0.1716,-1.0615,0.638,-0.7391,0.409,0.2705,-0.043,0.6012,1.0844,0.1956,0.487,1.0671,-0.9827,0.1038,-1.2865,0.9703,-0.3184,-0.7823,0.0111,-0.808,-1.7161,-0.3345,-1.2062,0.9876,0.7595,-1.2188,-0.2842,14.0,1,642.5811,628.2234000000001,620.3999,630.4014666666667,0,0
39205101.0,9.0,10.0,0.0,15.33,General,16.0,79.74,200.0,150.0,150.0,1750.0,1.1142,1.5,-0.18,-0.5,9.0,3.0,0.5756,0.326,1.1793,0.0492,0.0124,2.0345,-2.7106,-0.2264,-0.0008,-1.0691,0.5102,2.0073,-1.2655,0.638,-0.4089,0.9065,0.8232,0.6912,0.6012,1.0844,2.0054,0.6291,0.4637,-0.267,-0.5928,0.3858,1.8524,0.9517,-0.7823,-1.0422,-0.9653,-1.7161,-0.6385,-0.2836,-0.5023,-0.2162,-1.2188,-0.8181,7.0,0,564.3057,570.0210000000001,508.2099,547.5122,0,1
39203878.0,9.0,6.0,0.0,16.0,General,12.0,24.53,250.0,250.0,150.0,1600.0,-1.7688,0.8,0.21,-0.5,4.0,2.0,-2.2359,-1.8511,-0.9386,-2.3522,-2.859,2.0345,0.7628,1.8202,-0.3253,-0.6576,-0.3302,0.4572,0.1744,0.6977,-0.7391,0.795,0.2705,-1.0299,-0.9391,-0.6583,0.1956,-0.6545,0.052,-0.6723,-1.1176,-1.4832,-0.4347,-0.5665,-0.7823,0.2941,-2.2971,-1.7161,-1.1208,-1.0873,-2.5144,-0.3559,-1.2188,-1.3048,75.0,0,424.1051000000001,439.8179999999999,383.3807000000001,415.76793333333336,0,0
39202843.0,3.0,3.0,0.0,15.83,General,16.0,88.31,300.0,300.0,240.0,1680.0,0.979,1.5,0.21,0.42,4.0,2.0,-0.1299,-0.5278,-1.0527,0.3231,0.4428,2.0345,0.7628,0.373,1.0514,-0.6576,2.0871,2.0073,1.8245,-0.2406,0.1222,-0.663,-1.272,0.2865,0.9995,0.0042,-0.8705,-1.0217,0.3335,-0.1652,0.3385,0.0018,-0.6331,0.3241,0.2907,-0.2623,-2.2971,-1.7161,0.6113,1.2859,-0.1727,-0.3559,-0.5146,-1.3048,7.0,0,649.7821000000001,666.4348,648.9334999999999,655.0501333333333,1,1
39205985.0,7.0,8.0,0.0,16.0,General,16.0,51.56,250.0,200.0,165.0,2100.0,0.7857,-1.64,-0.57,-0.04,10.0,9.0,0.3092,-0.5278,-0.5492,0.8478,1.5337,-0.0424,1.314,1.8202,-0.7784,0.2169,-1.1919,-0.5786,1.8245,0.0127,-2.4403,0.479,1.6524,-1.36,-0.1855,1.0844,-2.345,-2.7365,-0.9823,-2.1464,0.6502,-1.8953,-1.7101,-1.2733,0.1462,0.3785,-0.6215,-1.7161,-2.9336,-0.5527,-2.5144,-2.1763,-1.2188,-1.3048,73.0,0,414.2694,408.12880000000007,363.3734,395.2572,0,1
