CNTSTUID,GRADE,AGE,ISCEDL,PAREDINT,HISEI,IMMIG,REPEAT,ESCS,UNDREM,METASUM,METASPAM,HOMEPOS,CULTPOSS,HEDRES,DISCLIMA,TEACHSUP,DIRINS,PERFEED,EMOSUPS,STIMREAD,ADAPTIVITY,TEACHINT,JOYREAD,SCREADCOMP,SCREADDIFF,PISADIFF,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,RESILIENCE,MASTGOAL,GCSELFEFF,GCAWARE,ATTIMM,INTCULT,PERSPECT,COGFLEX,RESPECT,AWACOM,GLOBMIND,DISCRIM,BELONG,WVARSTRR,GENDER,MATH,SCIENCE,READ,TOTALSCORE,Is_MISCED_5B,Is_FISCED_5B,Is_HISCED_5B
60802903.0,0.0,15.58,ISCED level 2,16.0,28.48,Native,Repeated a  grade,-0.9605,0.45,-0.18,0.42,-2.0191,0.246,-0.6947,-0.7373,0.4522,-0.5066,-0.5551,1.0346,-0.0073,-0.686,1.0307,0.9443,-0.4419,1.2658,0.7192,1.0844,0.1956,0.9982,-0.4342,0.2621,0.7301,-0.4909,-0.7346,-0.1574,-0.9753,-0.5986,0.1712,-0.3707,-0.5027,-0.4899,0.3523,0.1819,0.6266,-0.741,6.0,0,240.8811,299.2239,239.6377,259.91423333333336,0,0,0
60803247.0,0.0,15.42,ISCED level 2,9.0,44.14,Native,Did not repeat a  grade,-2.2282,-0.6,-0.57,-0.96,-3.0678,-1.9582,-1.5925,-0.7434,0.7628,1.1049,0.9044,-0.6576,0.5102,0.5437,0.9276,0.0415,-1.0985,1.5959,1.2958,1.0844,0.1956,-0.1015,-0.2006,0.9269,-0.5928,-0.0136,1.1969,-0.8285,-0.5619,-0.2014,-0.0478,-1.2292,-0.4652,-0.4401,-0.4741,0.4665,1.2675,-0.5707,46.0,1,414.1142000000001,378.7488,338.4567,377.10656666666665,0,0,0
60803408.0,1.0,15.58,ISCED level 2,9.0,24.53,Native,Did not repeat a  grade,-2.2656,0.1,0.21,-0.5,-2.2734,-1.9582,-0.9649,0.2377,1.314,1.1049,-0.3253,1.0346,1.5391,-0.9282,1.2403,0.1748,-0.825,1.2421,1.2958,-0.6583,0.7871,-0.1015,0.8207,0.8126,-1.566,-0.9104,0.5761,-0.5851,-0.6113,-0.2014,0.1338,-0.2538,-0.3889,-0.9851,-0.4741,-0.3803,-0.1731,-0.3184,63.0,1,406.7564,351.0684,374.0317,377.2855,0,0,0
60800394.0,0.0,16.08,ISCED level 2,12.0,11.74,Native,Did not repeat a  grade,-1.7469,0.45,0.21,-0.96,-1.6084,-0.9765,-0.5012,0.1863,0.7015,0.2329,0.0728,1.0346,1.0383,0.2783,0.9888,0.3916,0.1222,1.2421,1.6524,1.0844,1.1811,1.0596,-1.059,1.1963,0.4094,0.3858,0.8347,-1.474,-0.3866,-1.3585,0.7875,0.4706,0.2165,0.9289,-0.408,-1.3037,1.6505,1.4685,6.0,0,366.41600000000005,337.98810000000003,301.0667,335.15693333333337,0,0,0
60802015.0,0.0,15.75,ISCED level 2,14.5,39.04,Native,Repeated a  grade,0.1518,1.5,0.21,-1.41,0.7021,0.2244,1.1793,-0.4003,0.7015,0.286,2.0165,0.6402,1.1847,0.8329,0.1744,2.0094,0.1222,0.409,0.5206,1.0844,0.1956,0.5693,0.8794,0.8126,-1.3186,-0.4684,0.8347,0.0043,-0.8317,1.4992,0.5116,0.779,-1.0466,0.5351,-0.1577,0.291,-0.1731,-1.2219,18.0,1,522.1729,515.3815,501.26830000000007,512.9409,1,0,1
60805779.0,0.0,15.5,ISCED level 2,12.0,30.34,Native,Did not repeat a  grade,-1.0202,-0.25,0.59,-1.41,-0.7286,-0.4076,-0.4903,-0.6495,1.314,1.8202,0.9044,-0.6576,2.0871,0.937,0.1744,0.5625,0.1222,0.409,1.2958,1.0844,0.7871,1.1448,-0.2006,0.2621,0.7301,0.3858,0.3133,0.1904,-0.9276,-0.2014,-0.4982,-0.5956,-0.2023,-0.4401,-0.1577,0.291,1.7356,-0.0633,52.0,0,386.9885,412.1798,383.1598,394.10936666666674,0,0,0
60804231.0,1.0,15.75,ISCED level 2,12.0,28.48,Native,Did not repeat a  grade,-1.3401,-0.25,-0.57,-1.41,-1.4008,-1.9582,-1.1515,0.6019,-0.2023,-0.6245,0.7743,-0.6576,-0.62,-0.2644,-0.5905,0.1531,-0.4419,0.9065,1.6715,0.4626,0.1956,0.9982,0.052,-0.1652,1.2386,-0.4531,-0.4347,-0.4765,-0.622,-0.2014,-0.1483,0.779,-0.1762,-0.6947,1.1819,0.0713,0.0963,-0.4356,13.0,1,314.00690000000003,350.37410000000006,293.87300000000005,319.41800000000006,0,0,0
60800513.0,0.0,15.92,ISCED level 2,16.0,29.47,Native,Did not repeat a  grade,-1.245,0.45,-0.18,0.42,-2.736,-1.0692,-0.9726,-0.0424,1.314,-0.0424,0.7743,0.6402,2.0871,-0.5786,-0.3449,0.4779,-0.4089,1.2421,1.0453,-1.6139,0.1956,0.9982,0.4637,1.1963,1.2386,-0.0485,0.5761,-0.4609,-1.145,-0.2014,-0.0698,0.1686,-0.2417,-0.4401,0.2607,0.0845,0.5881,-0.3184,37.0,0,318.6566,346.6849000000001,274.26309999999995,313.2015333333333,0,0,0
60804503.0,0.0,15.42,ISCED level 2,16.0,51.5,Native,Did not repeat a  grade,0.378,-0.94,-1.72,-1.41,0.1074,-1.0692,0.2646,-0.5664,-0.0037,0.3737,1.5844,-0.6576,1.1884,1.1853,0.6797,-1.94,-0.9323,-1.0064,3.0064,0.0042,1.1811,-0.7233,0.4637,1.348,1.2386,-0.0614,0.5761,-0.6722,-0.6796,-0.2014,-0.7122,-0.4441,0.2165,-0.4401,-0.771,-0.6819,0.5881,-0.4415,75.0,0,437.8928,419.9298,400.5381,419.4535666666668,1,0,0
60806865.0,1.0,15.58,ISCED level 2,9.0,28.48,Native,Did not repeat a  grade,-2.4706,-1.64,-0.18,-1.41,-2.9357,-1.9582,-1.6618,0.4039,1.314,1.8202,0.7743,1.0346,2.0871,0.4572,1.3209,0.9831,0.1222,-0.0697,0.2705,1.0844,0.1956,1.8164,0.8207,0.9269,0.7301,1.5527,1.8524,-0.8275,0.3352,0.2289,1.1479,1.1388,-0.7897,0.9289,2.0513,0.291,-1.1549,1.4685,1.0,1,380.29980000000006,303.0885,336.4254,339.93790000000007,0,0,0
