CNTSTUID,GRADE,AGE,ISCEDL,PARED,HISEI,IMMIG,REPEAT,MMINS,LMINS,SMINS,ESCS,UNDREM,METASUM,METASPAM,ICTHOME,ICTSCH,HOMEPOS,CULTPOSS,HEDRES,ICTRES,DISCLIMA,TEACHSUP,DIRINS,PERFEED,EMOSUPS,STIMREAD,ADAPTIVITY,TEACHINT,JOYREAD,SCREADCOMP,SCREADDIFF,PISADIFF,PERCOMP,PERCOOP,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,RESILIENCE,MASTGOAL,GCSELFEFF,GCAWARE,INTCULT,PERSPECT,COGFLEX,RESPECT,AWACOM,GLOBMIND,BELONG,BEINGBULLIED,ENTUSE,HOMESCH,USESCH,INTICT,COMPICT,AUTICT,SOIAICT,ICTCLASS,ICTOUTSIDE,WVARSTRR,GENDER,MATH,SCIENCE,READ,TOTALSCORE,"Is_MISCED_5A,6","Is_FISCED_5A,6"
70201292.0,0.0,15.75,ISCED level 3,13.0,73.91,Native,Did not repeat a  grade,225.0,135.0,135.0,0.6562,0.45,0.59,1.33,6.0,6.0,0.324,0.4851,1.1793,0.0895,0.8946,-1.1481,-0.7134,-0.3253,-1.3914,0.5102,0.1041,0.1744,-0.0176,-0.825,0.409,0.2705,0.6912,-0.5107,-0.6583,0.1956,0.5693,1.4083,-0.0614,0.9703,-0.472,-0.9343,0.1338,-0.085,-1.0572,-0.4401,-0.1577,-0.4705,-0.3184,-0.7823,-0.6524,-0.5415,-0.1826,-0.1842,-0.2113,-0.5023,0.2783,0.2379,0.3583,52.0,1,634.0078,603.2218,674.4428999999999,637.2241666666666,0,0
70206843.0,0.0,16.0,ISCED level 3,16.0,65.12,Native,Did not repeat a  grade,315.0,385.0,350.0,1.153,0.45,0.21,1.33,7.0,8.0,1.3254,1.7903,1.1793,0.3692,0.871,1.314,0.7198,0.3993,1.0346,0.5102,2.0073,1.8245,1.1914,0.1919,-0.524,-0.2888,1.1085,0.6012,0.4667,0.6314,-0.6545,0.4637,-0.4684,1.2329,0.5646,-0.4455,-0.0361,1.1388,-0.0237,-0.4401,-0.1577,0.2235,-0.3184,-0.7823,-0.7554,-0.4088,-0.1787,0.0012,-1.5556,-0.5753,-0.7345,-0.2254,-0.6237,7.0,1,686.356,682.3456,708.6816,692.4610666666667,0,1
70202901.0,0.0,15.58,ISCED level 3,11.0,65.25,First-Generation,Did not repeat a  grade,300.0,210.0,300.0,-0.314,-0.25,0.59,-0.96,5.0,9.0,-0.8519,-1.8518,-1.0118,-0.112,1.3671,1.314,1.8202,0.7743,0.2169,1.0741,-0.0791,0.6797,-0.5753,-0.7391,0.409,3.0064,0.6912,0.6012,1.0844,2.0054,1.8164,0.4637,-0.0614,0.3468,0.1708,-0.0549,0.2865,0.1686,-0.0511,0.4165,-0.09045,0.291,-0.3184,0.2907,0.4331,0.7927,0.8,2.6186,0.1955,2.0258,0.0407,1.5439,-1.3048,26.0,1,417.2976000000001,394.0893,350.72150000000005,387.3694666666667,0,0
70200636.0,0.0,15.42,ISCED level 3,11.0,57.64,Native,Did not repeat a  grade,275.0,165.0,165.0,-0.1301,1.15,0.59,1.33,5.0,7.0,0.2531,0.7925,0.031,-0.1536,0.871,0.7628,0.3737,0.7743,1.0346,0.5102,0.4572,0.1744,1.0781,0.1222,-0.0697,-0.6346,0.6912,0.6012,1.0844,0.1956,-0.1015,1.4083,-0.0614,0.5761,0.1904,-0.0549,1.6052,0.1686,0.2165,0.9289,-0.1577,0.291,-0.6035,0.8615,-0.1931,0.5133,0.4827,-0.0186,0.0537,0.0979,0.5149,0.0266,-0.1781,1.0,1,666.8991000000001,640.2295,730.8631,679.3305666666666,0,0
70203904.0,-2.0,15.58,ISCED level 2,8.0,26.8,Native,Did not repeat a  grade,480.0,480.0,240.0,-0.9147,-1.64,-0.18,-1.41,10.0,10.0,0.6572,1.0435,1.1793,0.333,-0.4003,-0.2023,-0.2996,0.0728,1.0346,-0.5665,-0.5786,0.1744,0.3252,0.1222,1.2421,0.4992,0.6912,-0.9391,0.4626,0.1956,0.6291,1.8905,-0.0614,0.8347,-0.9477,-1.4486,1.6052,0.1686,0.2165,0.9289,-0.1577,1.8217,-0.2383,-0.7823,0.6654,1.1547,1.3565,-0.0186,0.0537,0.0979,0.5149,1.0418,1.1397,72.0,0,304.1554,287.7326,237.8497,276.5792333333333,0,0
70200946.0,0.0,16.17,ISCED level 3,16.0,65.12,Native,Did not repeat a  grade,210.0,245.0,245.0,0.1907,0.1,-1.34,1.33,5.0,5.0,-0.9485,-1.2659,0.031,-0.94,0.871,-0.2023,-0.1803,-0.3253,-0.6576,0.7869,1.323,0.2984,-0.8353,-0.4419,0.409,0.2705,0.202,0.9995,0.0281,-0.733,0.6291,1.4083,-0.4957,1.008,-1.0279,-1.1626,-1.551,0.1549,-1.1292,-0.521,0.9399,-1.4963,0.3241,1.5082,0.149,-0.1314,-0.5072,1.4409,-0.4591,2.0258,-0.4614,-1.2188,0.6288,64.0,0,613.4942000000001,635.7696000000001,644.4448,631.2362,0,1
70206742.0,0.0,15.33,ISCED level 3,16.0,73.91,First-Generation,Did not repeat a  grade,240.0,120.0,180.0,0.8784,-1.29,1.36,-0.04,8.0,7.0,0.1574,0.7925,1.1793,0.0595,0.871,1.314,0.373,2.0165,0.0224,2.0871,0.5464,1.8245,-1.2014,0.1222,0.8207,0.7192,2.0378,0.6012,0.4667,2.0054,0.7068,1.0671,1.2011,-0.4347,0.1614,0.2172,0.3781,1.3485,0.6327,0.9289,2.0513,1.4239,2.7249,1.2618,0.0759,1.7548,1.722,2.6186,1.9637,2.0258,1.0689,0.4124,0.1104,49.0,0,604.4086,646.7011,665.7083,638.9393333333334,1,1
70201412.0,0.0,16.08,ISCED level 3,11.0,27.57,Native,Did not repeat a  grade,360.0,320.0,720.0,-1.0737,-0.6,-1.72,-0.5,6.0,7.0,-0.9389,-0.779,-0.5813,-0.281,-0.3697,-0.1719,-0.7139,-0.6555,1.0346,0.5102,0.4572,-1.0212,-1.7421,-1.0753,-1.126,-1.272,2.0378,0.6012,1.0844,-1.7009,-1.071,0.8207,-1.0837,-1.1295,-0.8285,-0.4535,-2.4881,-0.197,-0.059,0.9289,-0.5229,-0.3037,-0.0553,0.7703,-0.3435,-2.2971,-1.7161,-0.0186,0.0537,0.0979,0.5149,1.0418,-1.3048,64.0,0,623.4848,590.2035999999999,559.5184,591.0689333333333,0,0
70203431.0,0.0,15.5,ISCED level 3,16.0,75.54,Native,Did not repeat a  grade,270.0,180.0,450.0,1.4357,-0.94,0.59,1.33,7.0,6.0,1.0799,1.3032,0.031,1.2243,1.3671,1.314,1.8202,2.0165,0.6364,2.0871,1.1813,1.8245,2.6131,1.2374,-0.524,-1.272,-0.6142,0.6012,0.4667,-1.5513,-0.1982,-0.6133,0.3693,-0.4805,-0.0411,0.3352,0.0264,1.0349,0.6327,0.9289,1.4598,0.1622,0.9303,-0.7823,-0.0561,-0.0119,-0.1702,1.1337,-0.2005,0.8471,-0.212,-0.6454,0.7047,57.0,1,636.5955999999999,687.2029,713.2361,679.0115333333332,1,0
70206561.0,0.0,15.75,ISCED level 3,16.0,79.49,First-Generation,Did not repeat a  grade,180.0,240.0,240.0,1.0539,-1.64,0.98,1.33,9.0,6.0,0.3862,1.7903,1.1793,0.6901,0.871,1.314,1.8202,0.7743,1.0346,-0.62,0.4572,0.1744,2.0787,-0.4089,0.9065,0.2705,-0.6142,-0.9391,-1.1507,0.1956,-0.1015,0.1097,-0.0614,0.3468,-0.9477,-0.4655,1.6052,0.1686,0.0305,0.9289,-0.1577,-0.4563,-0.3184,0.8615,-0.3048,-0.6584,-0.6017,-0.0186,-0.2113,0.0979,0.2783,-0.5374,-1.3048,44.0,1,572.6110000000001,530.567,587.5382999999999,563.5721,1,1
70206246.0,0.0,15.33,ISCED level 3,11.0,41.22,Native,Did not repeat a  grade,315.0,280.0,245.0,-1.442,0.1,-1.72,-0.04,4.0,6.0,-2.1161,-1.2659,-1.8475,-0.94,-2.0663,-1.7803,-1.3302,0.2012,0.2127,-1.0773,-1.4494,-2.2177,-0.6464,-0.825,1.5959,2.21,2.0378,-2.1428,1.0844,0.1956,0.6291,1.8905,0.7028,-1.1295,-2.7142,-1.6769,1.6052,0.4852,1.0852,0.5351,-0.887,1.3217,-0.1903,1.1928,0.0087,-0.7513,-0.6017,-1.3487,-1.6124,-1.1563,-0.7345,0.2379,0.2858,27.0,1,430.0438,437.6762,456.8585,441.5261666666667,0,0
70201163.0,0.0,16.25,ISCED level 3,16.0,75.54,Native,Did not repeat a  grade,240.0,120.0,240.0,1.3202,0.45,-0.18,1.33,11.0,8.0,0.9421,1.0435,1.1793,0.4826,-0.4349,0.3485,-1.0988,-0.3253,1.0346,0.5102,0.4572,1.2403,0.2694,-0.825,1.3451,0.2705,0.6912,-0.9391,0.4667,0.7871,1.1448,1.1911,0.5075,0.9703,0.5584,0.6273,1.1479,0.6998,-0.6318,0.9289,1.4598,0.8479,0.4581,-0.7823,-0.0832,0.5459,0.2394,1.757,0.0537,0.0979,0.5149,0.2277,-1.3048,29.0,1,540.3806999999999,548.1853,508.4692,532.3450666666666,1,1
70204515.0,0.0,15.5,ISCED level 3,11.0,52.4,Native,Did not repeat a  grade,300.0,210.0,300.0,-0.2914,-1.64,0.59,-1.41,9.0,6.0,0.0004,-0.1239,0.031,0.094,-1.0963,1.314,-0.1348,1.3514,1.0346,0.5102,2.0073,-0.5551,0.5915,1.8839,0.409,-1.272,2.0378,1.6762,0.024,2.0054,-1.4138,-1.8939,2.3693,-0.5266,-0.039,0.776,0.6707,-0.2287,2.1449,0.9289,2.0513,-0.5012,2.7249,-0.7823,1.1469,-0.7935,-0.3355,1.3444,1.4987,2.0258,-0.3997,-1.2188,-0.7509,4.0,0,640.6989,627.6992,645.4660000000001,637.9547000000001,0,0
